FIPS,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
19083,3.1,"59,622",85.5
19085,2.7,"73,457",105.4
19087,3.3,"63,702",91.4
19089,3.2,"66,979",96.1
19091,2.7,"71,521",102.6
19093,2.1,"67,696",97.1
19095,2.8,"72,948",104.6
19097,3.5,"64,792",92.9
19099,3.0,"69,047",99.1
19101,2.7,"59,603",85.5
19103,2.4,"74,909",107.5
19105,3.5,"70,671",101.4
19107,3.3,"65,653",94.2
19109,2.5,"65,510",94.0
19111,4.1,"59,017",84.7
19113,3.5,"74,134",106.3
19115,3.2,"70,953",101.8
19117,2.4,"60,245",86.4
19119,2.0,"74,061",106.2
19121,3.5,"80,887",116.0
19123,2.6,"68,759",98.6
19125,2.2,"73,451",105.4
19127,6.3,"69,818",100.2
19129,2.7,"75,835",108.8
19131,2.3,"65,132",93.4
19133,2.8,"60,237",86.4
19135,2.8,"66,176",94.9
19137,2.6,"58,895",84.5
19139,3.2,"69,096",99.1
19141,2.4,"67,470",96.8
19143,1.9,"64,993",93.2
19145,2.6,"60,567",86.9
19147,2.5,"65,438",93.9
19149,2.1,"79,431",113.9
19151,2.3,"61,927",88.8
19153,2.9,"77,369",111.0
19155,2.9,"68,712",98.6
19157,2.9,"69,566",99.8
19159,2.2,"60,061",86.2
19161,2.4,"72,499",104.0
19163,3.5,"68,576",98.4
19165,2.4,"71,628",102.8
19167,1.9,"75,994",109.0
19169,2.1,"68,720",98.6
19171,3.9,"66,295",95.1
19173,2.2,"56,021",80.4
19175,3.0,"55,812",80.1
19177,3.1,"64,550",92.6
19179,3.5,"61,555",88.3
19181,2.6,"90,943",130.5
19183,2.6,"70,539",101.2
19185,2.9,"58,000",83.2
19187,3.1,"67,110",96.3
19189,3.8,"66,776",95.8
19191,3.2,"72,032",103.3
19193,2.9,"66,830",95.9
19195,3.0,"71,329",102.3
19197,2.6,"67,291",96.5
20000,2.7,"68,827",100.0
20001,2.8,"50,995",74.1
20003,2.1,"59,683",86.7
20005,3.4,"59,085",85.8
20007,2.4,"59,845",86.9
20009,2.7,"56,711",82.4
20011,3.4,"44,954",65.3
20013,2.8,"56,391",81.9
20015,2.7,"80,214",116.5
20017,2.3,"58,580",85.1
20019,2.8,"49,457",71.9
20021,2.7,"54,965",79.9
20023,2.5,"56,500",82.1
20025,2.0,"58,914",85.6
20027,2.5,"59,021",85.8
20029,2.8,"52,483",76.3
20031,3.3,"69,100",100.4
20033,2.6,"53,657",78.0
20035,3.0,"56,416",82.0
20037,2.8,"51,835",75.3
20039,2.9,"51,152",74.3
20041,2.8,"63,136",91.7
20043,2.5,"64,608",93.9
20045,2.6,"67,482",98.0
20047,2.3,"55,777",81.0
20049,2.5,"47,094",68.4
20051,1.9,"61,675",89.6
20053,2.4,"63,636",92.5
20055,2.1,"69,966",101.7
20057,2.1,"67,714",98.4
20059,2.5,"67,263",97.7
20061,3.8,"60,026",87.2
20063,2.3,"64,037",93.0
20065,2.6,"53,233",77.3
20067,2.7,"66,022",95.9
20069,2.0,"77,761",113.0
20071,1.8,"72,300",105.0
20073,2.7,"52,145",75.8
20075,1.8,"63,442",92.2
20077,2.3,"52,893",76.8
20079,2.9,"73,854",107.3
20081,2.0,"69,971",101.7
20083,2.2,"67,478",98.0
20085,2.3,"70,445",102.4
20087,2.5,"75,774",110.1
20089,2.8,"56,144",81.6
20091,2.4,"99,174",144.1
20093,2.0,"75,773",110.1
20095,2.7,"65,597",95.3
20097,2.5,"61,700",89.6
20099,2.9,"52,318",76.0
20101,2.7,"64,934",94.3
20103,2.7,"79,117",115.0
20105,2.1,"58,049",84.3
20107,3.9,"59,651",86.7
20109,1.8,"63,204",91.8
20111,2.6,"55,863",81.2
20113,2.0,"73,766",107.2
20115,2.5,"64,337",93.5
20117,2.1,"58,942",85.6
20119,2.1,"68,038",98.9
20121,2.6,"82,606",120.0
20123,2.0,"63,929",92.9
20125,3.0,"54,955",79.8
20127,2.5,"60,741",88.3
20129,2.6,"62,896",91.4
20131,1.7,"72,719",105.7
20133,3.5,"49,322",71.7
20135,2.4,"61,539",89.4
20137,2.0,"56,604",82.2
20139,2.6,"62,995",91.5
20141,2.2,"53,971",78.4
20143,2.3,"69,542",101.0
20145,2.6,"47,939",69.7
20147,2.2,"58,834",85.5
20149,2.3,"85,822",124.7
20151,2.1,"65,812",95.6
20153,1.9,"59,116",85.9
20155,2.9,"57,663",83.8
20157,2.1,"53,974",78.4
20159,2.5,"61,727",89.7
20161,2.6,"55,876",81.2
20163,2.6,"57,029",82.9
20165,2.2,"56,629",82.3
20167,2.3,"48,754",70.8
20169,2.4,"57,563",83.6
20171,2.0,"71,121",103.3
20173,2.9,"64,720",94.0
20175,2.5,"63,579",92.4
20177,2.7,"61,255",89.0
20179,2.1,"62,918",91.4
20181,2.4,"57,044",82.9
20183,2.0,"52,101",75.7
20185,2.3,"58,019",84.3
20187,2.1,"76,137",110.6
20189,2.1,"69,320",100.7
20191,2.7,"62,921",91.4
20193,1.9,"62,916",91.4
20195,3.0,"54,628",79.4
20197,2.6,"68,435",99.4
20199,2.2,"62,309",90.5
20201,2.1,"63,797",92.7
20203,2.2,"68,225",99.1
20205,3.1,"52,064",75.6
20207,3.4,"49,477",71.9
20209,3.4,"58,701",85.3
21000,4.2,"59,246",100.0
21001,5.0,"44,153",74.5
21003,4.0,"61,655",104.1
21005,3.3,"66,846",112.8
21007,4.9,"56,605",95.5
21009,4.4,"50,658",85.5
21011,5.6,"48,260",81.5
21013,5.6,"33,923",57.3
21015,3.6,"90,265",152.4
21017,3.6,"56,879",96.0
21019,5.6,"55,397",93.5
21021,4.5,"57,975",97.9
21023,4.7,"58,301",98.4
21025,7.5,"36,300",61.3
21027,4.9,"52,400",88.4
21029,4.1,"77,192",130.3
21031,4.5,"50,824",85.8
21033,3.9,"51,553",87.0
21035,4.4,"51,949",87.7
21037,3.6,"74,149",125.2
21039,3.9,"54,535",92.0
21041,3.5,"59,226",100.0
21043,7.6,"48,285",81.5
21045,4.1,"43,539",73.5
21047,5.1,"56,610",95.6
21049,3.8,"61,641",104.0
21051,6.4,"34,473",58.2
21053,5.2,"41,739",70.5
21055,4.1,"50,452",85.2
21057,3.4,"48,864",82.5
21059,4.3,"65,949",111.3
21061,5.1,"51,402",86.8
21063,8.2,"40,312",68.0
21065,5.0,"39,402",66.5
21067,3.4,"63,667",107.5
21069,4.8,"50,012",84.4
21071,6.0,"37,296",63.0
21073,3.6,"58,456",98.7
21075,5.0,"40,409",68.2
21077,4.0,"59,175",99.9
21079,3.9,"57,748",97.5
21081,4.0,"66,458",112.2
21083,4.2,"53,408",90.1
21085,4.6,"52,130",88.0
21087,3.8,"46,169",77.9
21089,6.5,"54,462",91.9
21091,4.6,"66,300",111.9
21093,4.1,"61,920",104.5
21095,6.6,"36,022",60.8
21097,3.8,"60,962",102.9
21099,4.4,"47,229",79.7
21101,4.0,"55,530",93.7
21103,3.7,"65,068",109.8
21105,4.5,"53,838",90.9
21107,4.4,"52,198",88.1
21109,5.6,"41,007",69.2
21111,3.9,"64,719",109.2
21113,3.5,"69,216",116.8
21115,6.6,"42,877",72.4
21117,3.7,"77,284",130.4
21119,6.7,"38,456",64.9
21121,5.8,"36,573",61.7
21123,4.4,"53,939",91.0
21125,4.5,"50,721",85.6
21127,5.7,"42,776",72.2
21129,5.8,"34,632",58.5
21131,6.9,"36,666",61.9
21133,6.3,"37,854",63.9
21135,8.0,"44,098",74.4
21137,5.1,"49,814",84.1
21139,5.0,"55,355",93.4
21141,4.1,"56,823",95.9
21143,4.4,"58,938",99.5
21145,4.0,"60,026",101.3
21147,5.9,"35,443",59.8
21149,4.6,"55,555",93.8
21151,3.9,"60,994",103.0
21153,9.8,"35,669",60.2
21155,3.4,"53,676",90.6
21157,4.0,"64,395",108.7
21159,8.3,"34,435",58.1
21161,5.2,"49,029",82.8
21163,4.6,"69,632",117.5
21165,6.2,"43,226",73.0
21167,4.1,"65,292",110.2
21169,4.8,"44,973",75.9
21171,4.3,"45,872",77.4
21173,4.8,"55,924",94.4
21175,5.1,"41,863",70.7
21177,6.1,"48,190",81.3
21179,3.6,"66,681",112.5
21181,4.3,"51,100",86.3
21183,5.6,"50,275",84.9
21185,3.4,"116,173",196.1
21187,3.7,"60,592",102.3
21189,6.6,"32,783",55.3
21191,4.0,"65,727",110.9
21193,5.6,"43,945",74.2
21195,5.7,"41,837",70.6
21197,4.4,"42,434",71.6
21199,4.8,"46,380",78.3
21201,5.2,"53,456",90.2
21203,4.7,"45,161",76.2
21205,5.2,"50,498",85.2
21207,5.3,"44,425",75.0
21209,3.3,"86,169",145.4
21211,3.5,"81,815",138.1
21213,3.8,"58,550",98.8
21215,3.7,"101,552",171.4
21217,3.8,"52,414",88.5
21219,3.8,"53,280",89.9
21221,4.7,"56,433",95.3
21223,3.9,"65,828",111.1
21225,4.9,"58,223",98.3
21227,3.9,"60,651",102.4
21229,3.3,"59,937",101.2
21231,5.6,"39,863",67.3
21233,4.2,"56,052",94.6
21235,4.8,"43,604",73.6
21237,6.3,"37,718",63.7
21239,3.1,"76,633",129.3
22000,3.7,"55,458",100.0
22001,3.7,"42,981",77.5
22003,4.2,"51,423",92.7
22005,3.0,"81,284",146.6
22007,4.3,"54,403",98.1
22009,4.2,"41,587",75.0
22011,3.6,"64,394",116.1
22013,4.3,"41,807",75.4
22015,3.2,"63,812",115.1
22017,4.1,"47,699",86.0
22019,3.4,"61,797",111.4
22021,4.0,"46,464",83.8
22023,2.8,"63,413",114.3
22025,4.3,"41,676",75.1
22027,4.0,"37,788",68.1
22029,4.7,"41,101",74.1
22031,4.1,"52,776",95.2
22033,3.4,"61,376",110.7
22035,8.8,"30,688",55.3
22037,3.5,"56,830",102.5
22039,3.9,"40,933",73.8
22041,5.2,"38,584",69.6
22043,3.7,"52,832",95.3
22045,4.1,"45,077",81.3
22047,4.2,"53,205",95.9
22049,3.3,"43,813",79.0
22051,3.5,"61,157",110.3
22053,3.8,"52,414",94.5
22055,3.2,"58,641",105.7
22057,3.2,"59,575",107.4
22059,3.0,"55,633",100.3
22061,3.8,"44,752",80.7
22063,3.0,"72,887",131.4
22065,5.5,"33,403",60.2
22067,5.9,"39,493",71.2
22069,4.1,"42,178",76.1
22071,4.5,"51,913",93.6
22073,3.8,"47,283",85.3
22075,3.3,"71,876",129.6
22077,3.8,"56,457",101.8
22079,3.5,"55,870",100.7
22081,3.5,"44,139",79.6
22083,4.6,"44,470",80.2
22085,3.8,"45,072",81.3
22087,4.2,"51,485",92.8
22089,3.2,"75,223",135.6
22091,5.3,"45,024",81.2
22093,4.5,"67,938",122.5
22095,4.4,"60,569",109.2
22097,4.5,"42,765",77.1
22099,3.6,"54,265",97.8
22101,4.2,"48,242",87.0
22103,3.3,"78,629",141.8
22105,4.3,"54,942",99.1
22107,5.1,"33,290",60.0
22109,3.4,"57,376",103.5
22111,4.2,"48,003",86.6
22113,3.6,"50,554",91.2
22115,4.6,"52,626",94.9
22117,4.3,"41,779",75.3
22119,4.4,"43,698",78.8
22121,3.3,"71,362",128.7
22123,6.2,"41,380",74.6
22125,2.6,"68,266",123.1
22127,4.2,"45,646",82.3
23000,2.9,"69,485",100.0
23001,3.0,"62,848",90.4
23003,3.9,"51,562",74.2
23005,2.4,"88,571",127.5
23007,3.5,"52,159",75.1
23009,3.2,"63,879",91.9
23011,2.6,"63,191",90.9
23013,2.9,"65,615",94.4
23015,2.8,"72,657",104.6
23017,3.2,"58,842",84.7
23019,3.1,"60,761",87.4
23021,4.2,"52,529",75.6
23023,2.3,"73,587",105.9
23025,4.2,"55,093",79.3
23027,3.0,"63,619",91.6
23029,4.1,"55,381",79.7
23031,2.6,"81,315",117.0
24000,2.1,"94,957",100.0
24001,2.8,"50,582",53.3
24003,1.8,"112,525",118.5
24005,2.2,"86,198",90.8
24009,1.9,"118,110",124.4
24011,2.1,"65,981",69.5
24013,1.7,"105,096",110.7
24015,2.2,"84,513",89.0
24017,2.2,"112,932",118.9
24019,2.3,"54,206",57.1
24021,2.0,"116,796",123.0
24023,2.3,"59,080",62.2
24025,2.0,"100,334",105.7
24027,1.7,"133,068",140.1
24029,2.4,"69,695",73.4
24031,1.9,"118,020",124.3
24033,2.2,"93,833",98.8
24035,1.8,"109,436",115.2
24037,2.0,"112,154",118.1
24039,3.2,"53,590",56.4
24041,2.2,"76,583",80.7
24043,2.3,"69,271",72.9
24045,2.5,"68,851",72.5
24047,3.3,"75,969",80.0
24510,2.9,"54,735",57.6
25000,3.4,"94,538",100.0
25001,4.2,"89,774",95.0
25003,3.6,"71,102",75.2
25005,4.1,"80,702",85.4
25007,4.4,"89,136",94.3
25009,3.5,"92,118",97.4
25011,2.9,"69,929",74.0
25013,4.3,"64,030",67.7
25015,2.9,"81,878",86.6
25017,2.9,"118,494",125.3
25019,5.8,"107,613",113.8
25021,3.1,"115,770",122.5
25023,3.5,"102,647",108.6
25025,3.2,"84,548",89.4
25027,3.5,"86,078",91.1
26000,3.9,"66,926",100.0
26001,7.3,"53,788",80.4
26003,7.7,"59,390",88.7
26005,3.4,"75,893",113.4
26007,4.5,"54,161",80.9
26009,5.4,"71,945",107.5
26011,6.9,"53,615",80.1
26013,6.2,"52,491",78.4
26015,3.5,"71,173",106.3
26017,4.9,"56,388",84.3
26019,5.0,"65,846",98.4
26021,4.2,"61,790",92.3
26023,3.9,"63,634",95.1
26025,4.3,"59,652",89.1
26027,4.4,"65,703",98.2
26029,4.6,"71,362",106.6
26031,8.2,"60,849",90.9
26033,5.9,"58,924",88.0
26035,6.3,"47,973",71.7
26037,3.3,"80,212",119.9
26039,5.9,"57,600",86.1
26041,5.2,"57,019",85.2
26043,3.8,"56,349",84.2
26045,3.6,"71,499",106.8
26047,5.7,"69,805",104.3
26049,5.0,"57,443",85.8
26051,5.9,"55,017",82.2
26053,4.7,"50,142",74.9
26055,3.4,"74,746",111.7
26057,4.4,"58,074",86.8
26059,4.2,"60,070",89.8
26061,4.6,"55,623",83.1
26063,4.3,"50,177",75.0
26065,3.9,"60,571",90.5
26067,3.6,"74,391",111.2
26069,6.0,"46,129",68.9
26071,5.6,"54,149",80.9
26073,4.5,"54,642",81.6
26075,4.0,"61,299",91.6
26077,3.7,"69,689",104.1
26079,5.6,"59,160",88.4
26081,3.2,"76,923",114.9
26083,5.9,"57,103",85.3
26085,7.0,"48,545",72.5
26087,4.1,"72,737",108.7
26089,3.8,"89,007",133.0
26091,4.2,"67,486",100.8
26093,2.7,"101,227",151.3
26095,5.9,"49,371",73.8
26097,8.9,"56,942",85.1
26099,3.5,"73,927",110.5
26101,5.7,"55,788",83.4
26103,4.6,"61,598",92.0
26105,4.9,"64,014",95.6
26107,5.3,"56,096",83.8
26109,4.0,"50,564",75.6
26111,4.0,"77,595",115.9
26113,4.8,"59,230",88.5
26115,4.2,"72,166",107.8
26117,4.3,"61,590",92.0
26119,7.5,"50,680",75.7
26121,4.4,"58,303",87.1
26123,4.3,"57,992",86.7
26125,2.9,"90,801",135.7
26127,5.7,"56,853",84.9
26129,6.6,"53,480",79.9
26131,7.0,"45,694",68.3
26133,4.8,"54,727",81.8
26135,7.6,"46,626",69.7
26137,4.8,"65,915",98.5
26139,3.0,"85,968",128.5
26141,7.7,"56,375",84.2
26143,7.2,"49,151",73.4
26145,5.2,"54,064",80.8
26147,3.8,"64,894",97.0
26149,4.4,"60,489",90.4
26151,4.8,"56,079",83.8
26153,7.3,"56,707",84.7
26155,4.3,"61,959",92.6
26157,5.0,"61,978",92.6
26159,4.7,"61,638",92.1
26161,3.3,"80,941",120.9
26163,4.4,"55,928",83.6
26165,4.8,"56,379",84.2
27000,2.8,"82,343",100.0
27001,4.8,"59,064",71.7
27003,2.8,"92,249",112.0
27005,3.0,"67,448",81.9
27007,3.5,"59,882",72.7
27009,3.6,"71,493",86.8
27011,3.4,"57,821",70.2
27013,2.3,"68,279",82.9
27015,2.9,"64,093",77.8
27017,3.7,"78,478",95.3
27019,2.4,"117,602",142.8
27021,4.4,"67,121",81.5
27023,2.8,"61,878",75.1
27025,3.3,"98,183",119.2
27027,2.1,"79,357",96.4
27029,6.0,"64,716",78.6
27031,3.6,"69,279",84.1
27033,4.6,"59,981",72.8
27035,3.4,"67,373",81.8
27037,2.6,"97,727",118.7
27039,2.8,"88,994",108.1
27041,2.6,"73,521",89.3
27043,3.1,"67,302",81.7
27045,2.8,"72,065",87.5
27047,2.7,"65,632",79.7
27049,2.6,"82,091",99.7
27051,3.2,"68,381",83.0
27053,2.6,"89,418",108.6
27055,2.5,"76,170",92.5
27057,4.3,"67,797",82.3
27059,3.8,"83,212",101.1
27061,4.6,"66,958",81.3
27063,2.9,"66,694",81.0
27065,5.0,"69,588",84.5
27067,2.9,"72,281",87.8
27069,3.0,"65,244",79.2
27071,4.3,"63,035",76.6
27073,2.8,"67,556",82.0
27075,3.9,"73,724",89.5
27077,3.5,"62,143",75.5
27079,3.9,"86,864",105.5
27081,3.0,"64,860",78.8
27083,2.5,"70,958",86.2
27085,3.2,"80,874",98.2
27087,4.7,"52,926",64.3
27089,4.2,"70,606",85.7
27091,2.8,"61,721",75.0
27093,3.1,"76,506",92.9
27095,5.1,"65,294",79.3
27097,4.4,"64,588",78.4
27099,2.6,"68,718",83.5
27101,3.9,"68,665",83.4
27103,2.2,"78,091",94.8
27105,2.7,"65,374",79.4
27107,3.5,"64,319",78.1
27109,2.1,"88,032",106.9
27111,3.3,"65,076",79.0
27113,3.3,"76,423",92.8
27115,4.9,"65,139",79.1
27117,2.8,"65,499",79.5
27119,2.9,"69,538",84.4
27121,2.8,"68,888",83.7
27123,2.7,"75,041",91.1
27125,3.9,"74,120",90.0
27127,2.9,"66,582",80.9
27129,3.7,"66,568",80.8
27131,2.6,"77,962",94.7
27133,1.8,"69,835",84.8
27135,2.8,"71,794",87.2
27137,3.2,"63,141",76.7
27139,2.5,"115,687",140.5
27141,3.2,"97,999",119.0
27143,3.3,"75,596",91.8
27145,2.8,"72,378",87.9
27147,3.0,"75,474",91.7
27149,2.4,"69,171",84.0
27151,3.1,"67,166",81.6
27153,3.6,"66,300",80.5
27155,3.0,"63,913",77.6
27157,2.7,"78,953",95.9
27159,4.7,"57,527",69.9
27161,3.9,"71,519",86.9
27163,2.4,"107,649",130.7
27165,2.9,"61,295",74.4
27167,2.5,"71,924",87.3
27169,2.3,"65,699",79.8
27171,2.9,"95,259",115.7
27173,3.0,"67,543",82.0
28000,3.2,"52,788",100.0
28001,4.4,"39,547",74.9
28003,3.0,"49,627",94.0
28005,4.0,"45,433",86.1
28007,3.6,"44,404",84.1
28009,3.7,"43,247",81.9
28011,3.6,"39,984",75.7
28013,3.4,"44,172",83.7
28015,3.9,"49,397",93.6
28017,4.2,"43,776",82.9
28019,2.7,"49,225",93.3
28021,7.3,"35,591",67.4
28023,3.6,"46,524",88.1
28025,3.3,"43,451",82.3
28027,4.9,"36,071",68.3
28029,3.5,"43,308",82.0
28031,2.7,"46,630",88.3
28033,2.8,"79,967",151.5
28035,3.0,"51,344",97.3
28037,4.3,"47,165",89.3
28039,3.9,"61,956",117.4
28041,4.1,"52,585",99.6
28043,3.5,"46,718",88.5
28045,3.3,"59,874",113.4
28047,2.9,"55,916",105.9
28049,3.1,"47,479",89.9
28051,5.7,"31,972",60.6
28053,6.6,"33,148",62.8
28055,7.5,"36,922",69.9
28057,2.9,"56,484",107.0
28059,3.3,"61,515",116.5
28061,3.7,"44,810",84.9
28063,11.9,"33,852",64.1
28065,4.0,"36,642",69.4
28067,3.2,"58,000",109.9
28069,4.6,"39,856",75.5
28071,2.5,"61,736",117.0
28073,2.5,"62,326",118.1
28075,3.2,"49,351",93.5
28077,3.8,"46,407",87.9
28079,3.2,"46,429",88.0
28081,2.8,"58,266",110.4
28083,4.9,"35,520",67.3
28085,3.1,"48,596",92.1
28087,3.3,"49,344",93.5
28089,2.5,"80,641",152.8
28091,3.2,"44,129",83.6
28093,3.6,"52,162",98.8
28095,3.8,"51,754",98.0
28097,3.5,"42,195",79.9
28099,3.5,"50,331",95.3
28101,3.6,"47,320",89.6
28103,4.7,"36,608",69.3
28105,3.3,"47,284",89.6
28107,3.9,"40,595",76.9
28109,3.0,"55,830",105.8
28111,3.8,"45,071",85.4
28113,4.0,"40,945",77.6
28115,2.7,"51,086",96.8
28117,2.8,"49,217",93.2
28119,4.8,"40,255",76.3
28121,2.3,"72,906",138.1
28123,2.6,"45,764",86.7
28125,6.2,"36,375",68.9
28127,3.0,"50,994",96.6
28129,2.8,"51,746",98.0
28131,3.4,"54,283",102.8
28133,4.6,"38,423",72.8
28135,3.3,"39,009",73.9
28137,3.3,"58,623",111.1
28139,2.8,"52,635",99.7
28141,3.2,"51,652",97.8
28143,3.5,"37,694",71.4
28145,2.3,"56,050",106.2
28147,4.1,"40,828",77.3
28149,3.4,"52,117",98.7
28151,4.9,"39,690",75.2
28153,3.6,"43,562",82.5
28155,3.1,"51,249",97.1
28157,5.5,"36,798",69.7
28159,3.4,"50,082",94.9
28161,3.5,"45,658",86.5
28163,3.4,"39,620",75.1
29000,3.0,"64,783",100.0
29001,3.6,"46,433",71.7
29003,2.6,"72,630",112.1
29005,2.7,"57,883",89.3
29007,3.3,"56,305",86.9
29009,3.5,"49,968",77.1
29011,3.0,"49,857",77.0
29013,3.2,"57,291",88.4
29015,4.3,"51,473",79.5
29017,3.0,"53,932",83.3
29019,2.5,"63,981",98.8
29021,2.9,"56,751",87.6
29023,4.4,"44,853",69.2
29025,3.1,"56,660",87.5
29027,2.8,"72,398",111.8
29029,3.8,"63,703",98.3
29031,2.7,"64,118",99.0
29033,2.8,"56,818",87.7
29035,4.4,"42,907",66.2
29037,3.0,"77,805",120.1
29039,3.5,"45,952",70.9
29041,2.7,"56,633",87.4
29043,2.5,"73,616",113.6
29045,3.8,"63,249",97.6
29047,2.7,"78,930",121.8
29049,3.0,"68,337",105.5
29051,2.5,"70,837",109.3
29053,3.0,"63,247",97.6
29055,3.4,"52,536",81.1
29057,3.0,"49,386",76.2
29059,3.1,"49,830",76.9
29061,2.8,"53,639",82.8
29063,2.9,"66,880",103.2
29065,3.5,"52,945",81.7
29067,3.3,"43,694",67.4
29069,5.0,"39,688",61.3
29071,2.8,"65,779",101.5
29073,2.7,"59,287",91.5
29075,2.6,"52,653",81.3
29077,2.6,"55,751",86.1
29079,3.1,"48,457",74.8
29081,3.0,"51,910",80.1
29083,3.1,"54,177",83.6
29085,3.6,"43,468",67.1
29087,2.4,"51,295",79.2
29089,3.1,"53,862",83.1
29091,3.7,"44,858",69.2
29093,4.9,"44,329",68.4
29095,3.4,"62,509",96.5
29097,3.0,"53,548",82.7
29099,2.8,"78,297",120.9
29101,3.3,"60,086",92.7
29103,3.2,"49,552",76.5
29105,3.2,"53,224",82.2
29107,2.9,"70,457",108.8
29109,3.1,"58,031",89.6
29111,2.9,"57,053",88.1
29113,3.1,"77,913",120.3
29115,3.8,"52,831",81.6
29117,2.4,"56,654",87.5
29119,3.3,"50,100",77.3
29121,3.3,"52,847",81.6
29123,3.7,"47,068",72.7
29125,3.2,"54,815",84.6
29127,3.1,"57,635",89.0
29129,2.8,"49,715",76.7
29131,3.1,"61,711",95.3
29133,3.8,"42,364",65.4
29135,2.6,"64,519",99.6
29137,3.2,"50,276",77.6
29139,3.0,"56,538",87.3
29141,3.7,"51,700",79.8
29143,3.7,"48,162",74.3
29145,3.0,"57,423",88.6
29147,2.8,"57,507",88.8
29149,3.5,"45,273",69.9
29151,2.4,"69,094",106.7
29153,4.7,"44,242",68.3
29155,4.9,"38,456",59.4
29157,2.5,"63,127",97.4
29159,3.1,"58,827",90.8
29161,3.1,"54,740",84.5
29163,3.2,"59,081",91.2
29165,2.6,"93,925",145.0
29167,3.1,"53,693",82.9
29169,3.6,"61,718",95.3
29171,3.1,"49,532",76.5
29173,2.8,"65,016",100.4
29175,3.5,"48,762",75.3
29177,3.3,"70,506",108.8
29179,3.4,"44,409",68.6
29181,4.1,"41,587",64.2
29183,2.5,"98,925",152.7
29185,3.8,"45,174",69.7
29186,2.8,"63,786",98.5
29187,3.9,"48,574",75.0
29189,3.0,"79,609",122.9
29195,3.0,"54,623",84.3
29197,3.9,"49,508",76.4
29199,2.4,"54,961",84.8
29201,3.0,"57,678",89.0
29203,4.6,"39,671",61.2
29205,2.7,"54,264",83.8
29207,3.9,"53,391",82.4
29209,4.6,"56,418",87.1
29211,3.3,"52,384",80.9
29213,4.9,"53,009",81.8
29215,3.8,"46,622",72.0
29217,3.5,"51,900",80.1
29219,2.9,"74,355",114.8
29221,3.8,"47,636",73.5
29223,4.5,"41,724",64.4
29225,2.7,"59,784",92.3
29227,2.5,"48,397",74.7
29229,3.5,"45,017",69.5
29510,3.7,"52,278",80.7
30000,2.9,"67,915",100.0
30001,2.4,"57,497",84.7
30003,4.4,"49,113",72.3
30005,3.6,"53,577",78.9
30007,3.5,"67,927",100.0
30009,2.8,"67,062",98.7
30011,2.0,"50,597",74.5
30013,2.9,"59,184",87.1
30015,3.2,"51,137",75.3
30017,2.8,"64,743",95.3
30019,1.9,"57,141",84.1
30021,2.6,"60,763",89.5
30023,2.8,"52,848",77.8
30025,1.7,"65,637",96.6
30027,3.1,"60,466",89.0
30029,3.5,"66,395",97.8
30031,2.1,"83,520",123.0
30033,3.4,"50,762",74.7
30035,5.4,"46,270",68.1
30037,2.9,"45,622",67.2
30039,4.1,"58,186",85.7
30041,2.5,"50,518",74.4
30043,2.9,"83,697",123.2
30045,2.8,"60,677",89.3
30047,3.6,"57,225",84.3
30049,2.6,"72,491",106.7
30051,2.5,"53,601",78.9
30053,5.2,"48,432",71.3
30055,2.0,"59,086",87.0
30057,3.0,"72,487",106.7
30059,2.6,"53,724",79.1
30061,4.9,"55,979",82.4
30063,2.9,"68,210",100.4
30065,3.1,"55,291",81.4
30067,2.9,"68,594",101.0
30069,3.3,"48,991",72.1
30071,4.2,"56,043",82.5
30073,2.9,"51,057",75.2
30075,2.5,"54,102",79.7
30077,3.0,"60,350",88.9
30079,2.5,"49,838",73.4
30081,3.1,"65,789",96.9
30083,2.6,"72,974",107.4
30085,3.8,"48,712",71.7
30087,3.4,"64,003",94.2
30089,4.8,"47,976",70.6
30091,2.3,"62,982",92.7
30093,3.4,"58,898",86.7
30095,2.4,"81,147",119.5
30097,2.3,"68,006",100.1
30099,2.9,"57,054",84.0
30101,2.2,"49,850",73.4
30103,2.7,"60,454",89.0
30105,2.5,"79,703",117.4
30107,4.0,"44,002",64.8
30109,2.7,"56,317",82.9
30111,2.6,"78,216",115.2
31000,2.3,"69,828",100.0
31001,2.1,"64,212",92.0
31003,1.9,"63,250",90.6
31005,2.8,"57,018",81.7
31007,2.9,"66,584",95.4
31009,3.6,"54,936",78.7
31011,1.7,"68,533",98.1
31013,2.2,"66,762",95.6
31015,2.4,"54,443",78.0
31017,2.5,"55,394",79.3
31019,1.8,"67,809",97.1
31021,2.5,"58,125",83.2
31023,1.7,"76,417",109.4
31025,2.3,"93,195",133.5
31027,1.8,"69,033",98.9
31029,1.7,"64,985",93.1
31031,1.9,"58,017",83.1
31033,2.4,"56,604",81.1
31035,2.4,"64,251",92.0
31037,1.8,"69,549",99.6
31039,1.9,"65,809",94.2
31041,1.7,"60,328",86.4
31043,2.7,"65,986",94.5
31045,2.0,"52,621",75.4
31047,2.4,"62,089",88.9
31049,2.6,"56,099",80.3
31051,2.0,"61,144",87.6
31053,2.2,"68,267",97.8
31055,2.6,"74,424",106.6
31057,1.7,"58,441",83.7
31059,1.9,"68,532",98.1
31061,2.1,"59,400",85.1
31063,2.0,"58,241",83.4
31065,1.9,"54,213",77.6
31067,2.6,"64,406",92.2
31069,2.0,"51,734",74.1
