FIPS,POP_ESTIMATE_2023
12031,"1,030,822"
12033,"326,928"
12035,"131,439"
12037,"12,594"
12039,"43,833"
12041,"19,587"
12043,"12,786"
12045,"15,693"
12047,"13,471"
12049,"25,760"
12051,"43,333"
12053,"212,807"
12055,"107,614"
12057,"1,535,564"
12059,"19,944"
12061,"169,795"
12063,"48,622"
12065,"15,450"
12067,"8,078"
12069,"424,462"
12071,"834,573"
12073,"296,913"
12075,"46,545"
12077,"7,706"
12079,"18,519"
12081,"441,095"
12083,"409,959"
12085,"163,315"
12086,"2,686,867"
12087,"80,614"
12089,"101,501"
12091,"218,464"
12093,"41,427"
12095,"1,471,416"
12097,"437,784"
12099,"1,533,801"
12101,"632,996"
12103,"961,596"
12105,"818,330"
12107,"75,955"
12109,"320,110"
12111,"373,586"
12113,"203,162"
12115,"469,013"
12117,"484,271"
12119,"151,565"
12121,"46,130"
12123,"21,582"
12125,"15,532"
12127,"590,357"
12129,"36,449"
12131,"86,354"
12133,"25,602"
13000,"11,029,227"
13001,"18,457"
13003,"8,293"
13005,"11,124"
13007,"2,743"
13009,"43,396"
13011,"19,789"
13013,"92,792"
13015,"115,041"
13017,"17,128"
13019,"18,570"
13021,"156,512"
13023,"12,465"
13025,"18,401"
13027,"16,245"
13029,"49,739"
13031,"84,327"
13033,"24,438"
13035,"26,887"
13037,"5,457"
13039,"58,118"
13043,"11,059"
13045,"127,098"
13047,"68,910"
13049,"12,934"
13051,"303,655"
13053,"8,661"
13055,"25,222"
13057,"286,602"
13059,"129,933"
13061,"2,853"
13063,"298,300"
13065,"6,746"
13067,"776,743"
13069,"43,317"
13071,"46,167"
13073,"165,162"
13075,"17,714"
13077,"155,892"
13079,"12,277"
13081,"19,631"
13083,"16,165"
13085,"31,732"
13087,"29,087"
13089,"762,992"
13091,"19,776"
13093,"10,981"
13095,"82,645"
13097,"149,160"
13099,"10,563"
13101,"3,709"
13103,"71,541"
13105,"20,013"
13107,"23,119"
13109,"10,754"
13111,"25,955"
13113,"123,351"
13115,"100,113"
13117,"272,887"
13119,"24,782"
13121,"1,079,105"
13123,"32,860"
13125,"2,954"
13127,"86,172"
13129,"59,757"
13131,"26,066"
13133,"20,722"
13135,"983,526"
13137,"48,757"
13139,"217,267"
13141,"8,676"
13143,"32,038"
13145,"36,654"
13147,"27,556"
13149,"12,034"
13151,"254,613"
13153,"171,974"
13155,"9,120"
13157,"88,615"
13159,"16,455"
13161,"14,906"
13163,"15,183"
13165,"8,627"
13167,"9,282"
13169,"28,969"
13171,"20,401"
13173,"10,452"
13175,"49,941"
13177,"33,872"
13179,"69,210"
13181,"7,879"
13183,"19,594"
13185,"120,712"
13187,"35,258"
13189,"21,799"
13191,"11,501"
13193,"11,817"
13195,"32,191"
13197,"7,440"
13199,"20,931"
13201,"5,747"
13205,"21,114"
13207,"30,625"
13209,"8,761"
13211,"21,460"
13213,"41,035"
13215,"201,877"
13217,"120,135"
13219,"44,182"
13221,"15,754"
13223,"183,164"
13225,"28,805"
13227,"35,969"
13229,"20,425"
13231,"20,461"
13233,"44,223"
13235,"10,095"
13237,"23,129"
13239,"2,280"
13241,"17,442"
13243,"6,078"
13245,"205,414"
13247,"95,987"
13249,"4,526"
13251,"14,174"
13253,"9,092"
13255,"69,946"
13257,"27,228"
13259,"4,674"
13261,"28,890"
13263,"5,718"
13265,"1,609"
13267,"24,296"
13269,"7,758"
13271,"10,920"
13273,"8,718"
13275,"45,649"
13277,"41,554"
13279,"27,040"
13281,"13,035"
13283,"6,341"
13285,"70,742"
13287,"8,909"
13289,"7,691"
13291,"27,124"
13293,"28,263"
13295,"69,489"
13297,"106,702"
13299,"36,243"
13301,"5,106"
13303,"19,820"
13305,"31,373"
13307,"2,337"
13309,"7,081"
13311,"29,026"
13313,"103,687"
13315,"8,779"
13317,"9,518"
13319,"8,725"
13321,"20,273"
15000,"1,435,138"
15001,"207,615"
15003,"989,408"
15005,81
15007,"73,851"
15009,"164,183"
16000,"1,964,726"
16001,"524,673"
16003,"4,903"
16005,"90,400"
16007,"6,766"
16009,"10,369"
16011,"50,395"
16013,"25,041"
16015,"8,517"
16017,"52,547"
16019,"131,366"
16021,"13,557"
16023,"2,758"
16025,"1,232"
16027,"257,674"
16029,"7,219"
16031,"25,696"
16033,801
16035,"9,214"
16037,"4,523"
16039,"29,724"
16041,"15,494"
16043,"14,196"
16045,"21,071"
16047,"16,061"
16049,"17,890"
16051,"34,198"
16053,"25,479"
16055,"185,010"
16057,"41,301"
16059,"8,441"
16061,"3,739"
16063,"5,450"
16065,"54,547"
16067,"22,480"
16069,"42,987"
16071,"4,953"
16073,"12,722"
16075,"27,279"
16077,"8,253"
16079,"14,026"
16081,"12,549"
16083,"95,156"
16085,"12,644"
16087,"11,425"
17000,"12,549,689"
17001,"64,441"
17003,"4,695"
17005,"16,450"
17007,"53,202"
17009,"6,294"
17011,"32,729"
17013,"4,317"
17015,"15,526"
17017,"12,596"
17019,"205,644"
17021,"33,228"
17023,"15,088"
17025,"12,999"
17027,"36,785"
17029,"46,060"
17031,"5,087,072"
17033,"18,300"
17035,"10,261"
17037,"100,288"
17039,"15,365"
17041,"19,629"
17043,"921,213"
17045,"16,334"
17047,"5,968"
17049,"34,331"
17051,"21,164"
17053,"13,250"
17055,"37,138"
17057,"32,541"
17059,"4,670"
17061,"11,543"
17063,"53,578"
17065,"7,911"
17067,"17,186"
17069,"3,569"
17071,"6,088"
17073,"48,448"
17075,"26,136"
17077,"52,141"
17079,"9,144"
17081,"36,320"
17083,"21,091"
17085,"21,756"
17087,"13,326"
17089,"514,982"
17091,"105,940"
17093,"139,976"
17095,"48,411"
17097,"708,760"
17099,"108,309"
17101,"14,813"
17103,"33,654"
17105,"35,320"
17107,"27,590"
17109,"26,839"
17111,"312,800"
17113,"170,441"
17115,"100,591"
17117,"44,018"
17119,"262,752"
17121,"36,673"
17123,"11,683"
17125,"12,523"
17127,"13,661"
17129,"11,954"
17131,"15,487"
17133,"34,957"
17135,"27,663"
17137,"32,140"
17139,"14,342"
17141,"51,265"
17143,"177,513"
17145,"20,503"
17147,"16,714"
17149,"14,342"
17151,"3,707"
17153,"4,911"
17155,"5,561"
17157,"29,815"
17159,"15,488"
17161,"141,236"
17163,"251,018"
17165,"22,873"
17167,"193,491"
17169,"6,733"
17171,"4,710"
17173,"20,568"
17175,"5,218"
17177,"43,105"
17179,"129,541"
17181,"16,667"
17183,"71,652"
17185,"10,942"
17187,"16,185"
17189,"13,536"
17191,"15,761"
17193,"13,401"
17195,"54,498"
17197,"700,728"
17199,"66,706"
17201,"280,922"
17203,"38,285"
18000,"6,862,199"
18001,"36,288"
18003,"394,545"
18005,"84,003"
18007,"8,729"
18009,"11,893"
18011,"76,120"
18013,"15,653"
18015,"20,525"
18017,"37,666"
18019,"125,467"
18021,"26,460"
18023,"32,730"
18025,"10,438"
18027,"33,656"
18029,"51,215"
18031,"26,399"
18033,"44,198"
18035,"112,321"
18037,"43,546"
18039,"206,409"
18041,"23,362"
18043,"80,809"
18045,"16,731"
18047,"23,096"
18049,"20,358"
18051,"32,904"
18053,"66,200"
18055,"31,196"
18057,"371,645"
18059,"86,166"
18061,"40,006"
18063,"186,387"
18065,"48,929"
18067,"83,831"
18069,"36,781"
18071,"46,460"
18073,"33,535"
18075,"20,032"
18077,"33,056"
18079,"27,622"
18081,"167,819"
18083,"36,070"
18085,"80,364"
18087,"40,907"
18089,"500,598"
18091,"111,706"
18093,"45,084"
18095,"132,504"
18097,"968,460"
18099,"46,352"
18101,"9,897"
18103,"35,402"
18105,"139,342"
18107,"38,573"
18109,"73,227"
18111,"13,960"
18113,"47,430"
18115,"6,004"
18117,"19,638"
18119,"21,532"
18121,"16,484"
18123,"19,209"
18125,"12,106"
18127,"175,335"
18129,"25,040"
18131,"12,385"
18133,"37,567"
18135,"24,216"
18137,"29,227"
18139,"16,847"
18141,"272,848"
18143,"24,657"
18145,"45,231"
18147,"19,910"
18149,"23,206"
18151,"34,917"
18153,"20,757"
18155,"10,019"
18157,"188,792"
18159,"15,256"
18161,"6,973"
18163,"179,810"
18165,"15,417"
18167,"106,153"
18169,"30,670"
18171,"8,518"
18173,"65,867"
18175,"28,205"
18177,"66,127"
18179,"28,555"
18181,"24,917"
18183,"34,742"
19000,"3,207,004"
19001,"7,389"
19003,"3,544"
19005,"14,074"
19007,"12,119"
19009,"5,534"
19011,"25,796"
19013,"130,471"
19015,"26,590"
19017,"25,307"
19019,"20,691"
19021,"20,567"
19023,"14,172"
19025,"9,763"
19027,"20,522"
19029,"13,130"
19031,"18,302"
19033,"42,406"
19035,"11,605"
19037,"11,658"
19039,"9,588"
19041,"16,511"
19043,"16,969"
19045,"46,158"
19047,"16,013"
